"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 03 01:38:24 UTC 2024","Wed Jul 03 01:38:27 UTC 2024","3262","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"skipped","Wed Jul 03 01:52:59 UTC 2024","Wed Jul 03 01:52:59 UTC 2024","0","tests.integration.ha_tests","test_smoke","","","","test_app_resources_conflicts_v2","Test application deploy in dirty environment with garbage storage from another application."
"passed","Wed Jul 03 01:59:00 UTC 2024","Wed Jul 03 02:01:13 UTC 2024","133261","tests.integration.new_relations","test_new_relations","","","","test_admin_role","Test that the admin role gives access to all the databases."
"passed","Wed Jul 03 01:28:10 UTC 2024","Wed Jul 03 01:33:09 UTC 2024","299538","tests.integration.new_relations","test_relations_coherence","","","","test_relations","Test that check relation data."
"passed","Wed Jul 03 01:40:29 UTC 2024","Wed Jul 03 01:49:24 UTC 2024","535057","tests.integration.ha_tests","test_self_healing","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Wed Jul 03 01:34:01 UTC 2024","Wed Jul 03 01:42:38 UTC 2024","516157","tests.integration","test_password_rotation","","","","test_deploy_active","Build the charm and deploy it."
"passed","Wed Jul 03 01:47:31 UTC 2024","Wed Jul 03 01:47:33 UTC 2024","2050","tests.integration","test_password_rotation","","","","test_db_connection_with_empty_password","Test that user can't connect with empty password."
"skipped","Wed Jul 03 02:05:52 UTC 2024","Wed Jul 03 02:05:52 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_async_replication_failover_in_secondary_cluster","Test that async replication fails back correctly."
"passed","Wed Jul 03 01:58:53 UTC 2024","Wed Jul 03 02:01:47 UTC 2024","174162","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Wed Jul 03 01:38:28 UTC 2024","Wed Jul 03 01:40:35 UTC 2024","127509","tests.integration.ha_tests","test_replication","","","","test_reelection","Kill primary unit, check reelection."
"passed","Wed Jul 03 01:36:06 UTC 2024","Wed Jul 03 01:52:59 UTC 2024","1013577","tests.integration.ha_tests","test_smoke","","","","test_app_resources_conflicts_v3","Test application deploy in dirty environment with garbage storage from another application."
"passed","Wed Jul 03 01:40:58 UTC 2024","Wed Jul 03 01:40:59 UTC 2024","1031","tests.integration","test_charm","","","","test_settings_are_correct[0]",""
"passed","Wed Jul 03 01:41:00 UTC 2024","Wed Jul 03 01:41:01 UTC 2024","1026","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"passed","Wed Jul 03 01:40:57 UTC 2024","Wed Jul 03 01:40:57 UTC 2024","3","tests.integration","test_charm","","","","test_database_is_up[2]",""
"passed","Wed Jul 03 01:30:20 UTC 2024","Wed Jul 03 01:41:56 UTC 2024","695953","tests.integration.ha_tests","test_restore_cluster","","","","test_build_and_deploy","Build and deploy two PostgreSQL clusters."
"passed","Wed Jul 03 01:30:06 UTC 2024","Wed Jul 03 01:32:30 UTC 2024","143815","tests.integration.ha_tests","test_smoke","","","","test_app_force_removal","Remove unit with force while storage is alive."
"passed","Wed Jul 03 01:47:55 UTC 2024","Wed Jul 03 01:57:56 UTC 2024","601226","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Wed Jul 03 01:38:27 UTC 2024","Wed Jul 03 01:41:26 UTC 2024","179238","tests.integration.ha_tests","test_upgrade","","","","test_upgrade_from_edge",""
"passed","Wed Jul 03 02:32:50 UTC 2024","Wed Jul 03 02:33:37 UTC 2024","46757","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Wed Jul 03 01:44:10 UTC 2024","Wed Jul 03 01:52:59 UTC 2024","528549","tests.integration","test_db","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"skipped","Wed Jul 03 02:04:00 UTC 2024","Wed Jul 03 02:04:00 UTC 2024","0","tests.integration","test_db","","","","test_canonical_livepatch_onprem_bundle_db",""
"passed","Wed Jul 03 01:40:28 UTC 2024","Wed Jul 03 01:44:45 UTC 2024","256788","tests.integration.new_relations","test_new_relations","","","","test_read_only_endpoint_in_scaled_up_cluster","Test that there is read-only endpoint in a scaled up cluster."
"passed","Wed Jul 03 01:56:33 UTC 2024","Wed Jul 03 01:57:03 UTC 2024","29793","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"failed","Wed Jul 03 02:14:35 UTC 2024","Wed Jul 03 02:32:28 UTC 2024","1073311","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
