"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that async replication fails over correctly.","0","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Sun Sep 15 01:58:49 UTC 2024","skipped","Sun Sep 15 01:58:49 UTC 2024","","test_async_replication","",""
"Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","563472","test_deploy","tests.integration","Sun Sep 15 01:37:16 UTC 2024","passed","Sun Sep 15 01:46:39 UTC 2024","","test_charm","",""
"Recreates the cluster from storage volumes.","1050319","test_cluster_restore","tests.integration.ha_tests","Sun Sep 15 01:49:47 UTC 2024","passed","Sun Sep 15 02:07:18 UTC 2024","","test_restore_cluster","",""
"","0","test_kill_db_process[postgres]","tests.integration.ha_tests","Sun Sep 15 01:53:15 UTC 2024","skipped","Sun Sep 15 01:53:15 UTC 2024","","test_self_healing","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Sun Sep 15 02:05:06 UTC 2024","skipped","Sun Sep 15 02:05:06 UTC 2024","","test_db","",""
"Test that an application can connect to different clusters of the same database.","33868","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","Sun Sep 15 01:55:41 UTC 2024","passed","Sun Sep 15 01:56:15 UTC 2024","","test_new_relations","",""
"","53","test_exporter_is_up[0]","tests.integration","Sun Sep 15 01:46:39 UTC 2024","passed","Sun Sep 15 01:46:39 UTC 2024","","test_charm","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","Sun Sep 15 01:53:17 UTC 2024","skipped","Sun Sep 15 01:53:17 UTC 2024","","test_self_healing","",""
"","508615","test_scale_up","tests.integration","Sun Sep 15 01:46:14 UTC 2024","passed","Sun Sep 15 01:54:42 UTC 2024","","test_subordinates","",""
"Test async replication between two PostgreSQL clusters.","234","test_async_replication","tests.integration.ha_tests","Sun Sep 15 01:53:48 UTC 2024","broken","Sun Sep 15 01:53:48 UTC 2024","","test_async_replication","",""
"","0","test_restart_machine","tests.integration","Sun Sep 15 01:52:27 UTC 2024","skipped","Sun Sep 15 01:52:27 UTC 2024","","test_tls","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","858","test_storage_re_use","tests.integration.ha_tests","Sun Sep 15 01:48:11 UTC 2024","broken","Sun Sep 15 01:48:12 UTC 2024","","test_self_healing","",""
"","0","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sun Sep 15 01:53:17 UTC 2024","skipped","Sun Sep 15 01:53:17 UTC 2024","","test_self_healing","",""
"","160842","test_roles_blocking","tests.integration","Sun Sep 15 02:02:05 UTC 2024","passed","Sun Sep 15 02:04:46 UTC 2024","","test_db","",""
"","0","test_restart_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sun Sep 15 01:53:17 UTC 2024","skipped","Sun Sep 15 01:53:17 UTC 2024","","test_self_healing","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","Sun Sep 15 01:53:01 UTC 2024","skipped","Sun Sep 15 01:53:01 UTC 2024","","test_upgrade","",""
"Test that a relation with no database name doesn't block the charm.","0","test_relation_with_no_database_name","tests.integration.new_relations","Sun Sep 15 02:06:00 UTC 2024","skipped","Sun Sep 15 02:06:00 UTC 2024","","test_new_relations","",""
"","17","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","Sun Sep 15 01:42:10 UTC 2024","broken","Sun Sep 15 01:42:10 UTC 2024","","test_relations","",""
"Test application deploy in dirty environment with garbage storage from another application.","1014214","test_app_resources_conflicts_v3","tests.integration.ha_tests","Sun Sep 15 01:44:29 UTC 2024","passed","Sun Sep 15 02:01:23 UTC 2024","","test_smoke","",""
"Test data persists through a primary deletion.","301962","test_persist_data_through_primary_deletion","tests.integration","Sun Sep 15 02:11:33 UTC 2024","passed","Sun Sep 15 02:16:35 UTC 2024","","test_charm","",""
