"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy one unit of PostgreSQL and then test the available plugins.","663438","test_plugins","tests.integration","Tue Oct 15 01:29:49 UTC 2024","passed","Tue Oct 15 01:40:52 UTC 2024","","test_plugins","",""
"Remove unit with force while storage is alive.","","test_app_force_removal","tests.integration.ha_tests","","unknown","","","test_smoke","",""
"Build the charm and deploy it.","733482","test_deploy_active","tests.integration","Tue Oct 15 01:31:43 UTC 2024","passed","Tue Oct 15 01:43:56 UTC 2024","","test_password_rotation","",""
"Test basic functionality of database relation interface.","4040","test_database_relation_with_charm_libraries","tests.integration.new_relations","Tue Oct 15 01:44:13 UTC 2024","passed","Tue Oct 15 01:44:17 UTC 2024","","test_new_relations","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","1372","test_password_from_secret_same_as_cli","tests.integration","Tue Oct 15 01:48:20 UTC 2024","passed","Tue Oct 15 01:48:22 UTC 2024","","test_password_rotation","",""
"Test that in general, there is no change when password validation fails.","9485","test_no_password_change_on_invalid_password","tests.integration","Tue Oct 15 01:48:56 UTC 2024","passed","Tue Oct 15 01:49:06 UTC 2024","","test_password_rotation","",""
"","367368","test_upgrade_from_edge","tests.integration.ha_tests","Tue Oct 15 01:40:53 UTC 2024","passed","Tue Oct 15 01:47:01 UTC 2024","","test_upgrade","",""
"","3","test_database_is_up[2]","tests.integration","Tue Oct 15 01:40:07 UTC 2024","passed","Tue Oct 15 01:40:07 UTC 2024","","test_charm","",""
"","189662","test_fail_and_rollback","tests.integration.ha_tests","Tue Oct 15 01:47:02 UTC 2024","passed","Tue Oct 15 01:50:11 UTC 2024","","test_upgrade","",""
"Test that async replication fails over correctly.","95135","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Tue Oct 15 02:17:05 UTC 2024","passed","Tue Oct 15 02:18:40 UTC 2024","","test_async_replication","",""
"Test the audit plugin.","299301","test_audit_plugin","tests.integration","Tue Oct 15 01:30:23 UTC 2024","passed","Tue Oct 15 01:35:22 UTC 2024","","test_audit","",""
"Test that the pre-upgrade-check action runs successfully.","3269","test_pre_upgrade_check","tests.integration.ha_tests","Tue Oct 15 01:40:51 UTC 2024","passed","Tue Oct 15 01:40:54 UTC 2024","","test_upgrade_from_stable","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","511801","test_storage_re_use","tests.integration.ha_tests","Tue Oct 15 01:41:27 UTC 2024","passed","Tue Oct 15 01:49:59 UTC 2024","","test_self_healing","",""
"Test that the relation can be broken and re-established.","495862","test_reestablish_relation","tests.integration.ha_tests","Tue Oct 15 02:08:48 UTC 2024","passed","Tue Oct 15 02:17:04 UTC 2024","","test_async_replication","",""
"Test charm deploy in dirty environment with garbage storage.","","test_charm_garbage_ignorance","tests.integration.ha_tests","","unknown","","","test_smoke","",""
