"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 11 02:11:31 UTC 2024","Tue Jun 11 02:11:31 UTC 2024","0","tests.integration","test_tls","","","","test_restart_machine",""
"passed","Tue Jun 11 02:06:05 UTC 2024","Tue Jun 11 02:06:09 UTC 2024","4023","tests.integration.new_relations","test_new_relations","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Tue Jun 11 02:06:10 UTC 2024","Tue Jun 11 02:08:07 UTC 2024","117031","tests.integration.new_relations","test_new_relations","","","","test_two_applications_doesnt_share_the_same_relation_data","Test that two different application connect to the database with different credentials."
"unknown","","","","tests.integration.ha_tests","test_restore_cluster","","","","test_build_and_deploy","Build and deploy two PostgreSQL clusters."
"passed","Tue Jun 11 01:48:54 UTC 2024","Tue Jun 11 01:48:57 UTC 2024","3190","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"unknown","","","","tests.integration.ha_tests","test_self_healing","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"unknown","","","","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[postgres]",""
"passed","Tue Jun 11 02:01:38 UTC 2024","Tue Jun 11 02:01:48 UTC 2024","9375","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
"passed","Tue Jun 11 01:33:00 UTC 2024","Tue Jun 11 01:42:00 UTC 2024","540438","tests.integration.relations","test_relations","","","","test_deploy_charms","Deploy both charms (application and database) to use in the tests."
"passed","Tue Jun 11 02:04:44 UTC 2024","Tue Jun 11 02:15:53 UTC 2024","668913","tests.integration.ha_tests","test_replication","","","","test_no_data_replicated_between_clusters","Check that writes in one cluster are not replicated to another cluster."
"skipped","Tue Jun 11 02:50:59 UTC 2024","Tue Jun 11 02:50:59 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_scaling","Test that async replication works when scaling the clusters."
"passed","Tue Jun 11 02:04:31 UTC 2024","Tue Jun 11 02:04:43 UTC 2024","11995","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"passed","Tue Jun 11 01:48:18 UTC 2024","Tue Jun 11 02:11:31 UTC 2024","1392331","tests.integration","test_tls","","","","test_tls_enabled","Test that TLS is enabled when relating to the TLS Certificates Operator."
"passed","Tue Jun 11 01:43:58 UTC 2024","Tue Jun 11 01:45:45 UTC 2024","106098","tests.integration.relations","test_relations","","","","test_modern_endpoint_with_multiple_related_endpoints",""
"passed","Tue Jun 11 02:27:21 UTC 2024","Tue Jun 11 02:32:45 UTC 2024","323614","tests.integration.new_relations","test_new_relations","","","","test_nextcloud_db_blocked",""
"passed","Tue Jun 11 02:20:18 UTC 2024","Tue Jun 11 02:21:19 UTC 2024","61202","tests.integration.new_relations","test_new_relations","","","","test_relation_with_no_database_name","Test that a relation with no database name doesn't block the charm."
"broken","Tue Jun 11 01:33:05 UTC 2024","Tue Jun 11 02:00:17 UTC 2024","1631933","tests.integration","test_backups","","","","test_backup","Build and deploy two units of PostgreSQL and then test the backup and restore actions."
"unknown","","","","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[postgres]",""
"skipped","Tue Jun 11 02:00:17 UTC 2024","Tue Jun 11 02:00:17 UTC 2024","0","tests.integration","test_backups","","","","test_restore_on_new_cluster","Test that is possible to restore a backup to another PostgreSQL cluster."
"passed","Tue Jun 11 02:21:19 UTC 2024","Tue Jun 11 02:23:50 UTC 2024","150752","tests.integration.new_relations","test_new_relations","","","","test_admin_role","Test that the admin role gives access to all the databases."
"passed","Tue Jun 11 02:11:46 UTC 2024","Tue Jun 11 02:22:23 UTC 2024","637296","tests.integration","test_db","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Tue Jun 11 01:44:15 UTC 2024","Tue Jun 11 01:49:52 UTC 2024","337064","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"unknown","","","","tests.integration.ha_tests","test_self_healing","","","","test_network_cut","Completely cut and restore network."
"unknown","","","","tests.integration.ha_tests","test_smoke","","","","test_app_resources_conflicts_v3","Test application deploy in dirty environment with garbage storage from another application."
"passed","Tue Jun 11 01:59:13 UTC 2024","Tue Jun 11 02:07:10 UTC 2024","477450","tests.integration","test_subordinates","","","","test_scale_up",""
"passed","Tue Jun 11 01:51:13 UTC 2024","Tue Jun 11 02:04:43 UTC 2024","810801","tests.integration","test_config","","","","test_config_parameters","Build and deploy one unit of PostgreSQL and then test config with wrong parameters."
"unknown","","","","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"unknown","","","","tests.integration.ha_tests","test_smoke","","","","test_app_resources_conflicts_v2","Test application deploy in dirty environment with garbage storage from another application."
"passed","Tue Jun 11 02:23:50 UTC 2024","Tue Jun 11 02:27:21 UTC 2024","211690","tests.integration.new_relations","test_new_relations","","","","test_invalid_extra_user_roles",""
